Date,Open,High,Low,Close,Adj Close,Volume,5_day_SMA,20_day_SMA,50_day_SMA,14_day_RSI,Lagged_Close,ATR,Day_of_Week,Daily_Return,Volatility
2014-09-02,25.764999389648438,25.934999465942383,25.68000030517578,25.825000762939453,22.930204391479492,214256000,,,,,,,1,,
2014-09-03,25.774999618530273,25.799999237060547,24.645000457763672,24.735000610351562,21.962385177612305,501684000,,,,,25.825000762939453,,2,-0.04220716826278326,
2014-09-04,24.712499618530273,25.022499084472656,24.447500228881836,24.530000686645508,21.78036880493164,342872000,,,,,24.735000610351562,,3,-0.008287847934002612,
2014-09-05,24.700000762939453,24.84749984741211,24.577499389648438,24.74250030517578,21.96904182434082,233828000,,,,,24.530000686645508,,4,0.008662846008233638,
2014-09-08,24.825000762939453,24.827499389648438,24.512500762939453,24.59000015258789,21.833641052246094,185426800,24.88450050354004,,,,24.74250030517578,,0,-0.006163489975020475,
2014-09-09,24.770000457763672,25.770000457763672,24.03499984741211,24.497499465942383,21.751501083374023,759385200,24.619000244140626,,,,24.59000015258789,,1,-0.003761719645039241,0.018983889535155122
2014-09-10,24.502500534057617,25.27750015258789,24.440000534057617,25.25,22.419658660888672,403478400,24.722000122070312,,,,24.497499465942383,,2,0.03071744261506293,0.01620048930033894
2014-09-11,25.102500915527344,25.360000610351562,24.905000686645508,25.357500076293945,22.51511001586914,249412400,24.8875,,,,25.25,,3,0.004257428764116611,0.014676208543258535
2014-09-12,25.302499771118164,25.547500610351562,25.270000457763672,25.415000915527344,22.566165924072266,250504400,25.022000122070313,,,,25.357500076293945,,4,0.002267606785384846,0.014745520779527168
2014-09-15,25.702499389648438,25.762500762939453,25.360000610351562,25.407499313354492,22.55950355529785,245266000,25.185499954223634,,,,25.415000915527344,,0,-0.0002951643479291999,0.01379139174992978
2014-09-16,24.950000762939453,25.315000534057617,24.72249984741211,25.21500015258789,22.388580322265625,267632400,25.329000091552736,,,,25.407499313354492,,1,-0.007576470174907035,0.014592718664478789
2014-09-17,25.3174991607666,25.450000762939453,25.147499084472656,25.395000457763672,22.548402786254883,243706000,25.358000183105467,,,,25.21500015258789,,2,0.007138620031192255,0.005590352334178081
2014-09-18,25.482500076293945,25.587499618530273,25.389999389648438,25.447500228881836,22.59501838684082,149197600,25.376000213623048,,,,25.395000457763672,,3,0.002067327039646294,0.005368217471806021
2014-09-19,25.572500228881836,25.587499618530273,25.125,25.239999771118164,22.41077423095703,283609600,25.34099998474121,,,,25.447500228881836,,4,-0.008154060552013176,0.006517489360566524
2014-09-22,25.450000762939453,25.53499984741211,25.145000457763672,25.264999389648438,22.43297576904297,211153600,25.3125,,,46.19113984718786,25.239999771118164,0.5308456043832054,0,0.000990476178960975,0.006595095048275829
2014-09-23,25.149999618530273,25.735000610351562,25.135000228881836,25.65999984741211,22.783700942993164,253608800,25.401499938964843,,,56.53940405218239,25.264999389648438,0.5382074758160629,1,0.015634295163510226,0.008726995792027601
2014-09-24,25.540000915527344,25.712499618530273,25.299999237060547,25.4375,22.586143493652344,240687200,25.40999984741211,,,50.63250033232749,25.65999984741211,0.5252781942353583,2,-0.008671077503320745,0.009882626798982096
2014-09-25,25.127500534057617,25.177499771118164,24.43000030517578,24.467500686645508,21.724870681762695,400368000,25.213999938964843,,,33.97024623397502,25.4375,0.5733647861443669,3,-0.03813265113924291,0.019667889746059274
2014-09-26,24.63249969482422,25.1875,24.600000381469727,25.1875,22.364166259765625,249482000,25.20349998474121,,,47.72226561019476,24.467500686645508,0.5875847314144698,4,0.02942676175125114,0.02569299536757443
2014-09-29,24.662500381469727,25.110000610351562,24.657499313354492,25.02750015258789,22.22209358215332,199065200,25.1560001373291,25.134625148773193,,45.456599485169455,25.1875,0.5821396002833011,0,-0.0063523512620192735,0.025821012022747017
2014-09-30,25.202499389648438,25.385000228881836,25.13249969482422,25.1875,22.364166259765625,221056400,25.06150016784668,25.10275011062622,,48.10965361512049,25.02750015258789,0.5613779897576235,1,0.006392961599705149,0.024578107372218383
2014-10-01,25.147499084472656,25.172500610351562,24.674999237060547,24.795000076293945,22.015663146972656,205965200,24.93300018310547,25.10575008392334,,42.63144412011044,25.1875,0.5569535475738503,2,-0.015583123521828446,0.02513211316165031
2014-10-02,24.8174991607666,25.05500030517578,24.510000228881836,24.975000381469727,22.175491333007812,191031200,25.034500122070312,25.12800006866455,,45.6859232096264,24.795000076293945,0.5558917732921909,3,0.007259540416290511,0.0169799833257699
2014-10-03,24.860000610351562,25.052499771118164,24.760000228881836,24.905000686645508,22.11332893371582,173878400,24.978000259399415,25.136125087738037,,44.6894270843266,24.975000381469727,0.5328958604212065,4,-0.0028027905407422837,0.009487278265026001
2014-10-06,24.987499237060547,25.162500381469727,24.854999542236328,24.905000686645508,22.11332893371582,148204800,24.95350036621094,25.15187511444092,,44.68942708432661,24.905000686645508,0.5135249340010786,0,0.0,0.00921655061102531
2014-10-07,24.857500076293945,25.030000686645508,24.6825008392334,24.6875,21.920207977294922,168376800,24.853500366210938,25.1613751411438,,41.432776956541325,24.905000686645508,0.49946051046915263,1,-0.008733213437016052,0.008671485998378017
2014-10-08,24.690000534057617,25.27750015258789,24.577499389648438,25.200000762939453,22.375261306762695,229618800,24.93450050354004,25.15887517929077,,50.57286397277747,24.6875,0.5162260897333854,2,0.02075952457476271,0.011329664373935391
